defect_id,product_id,defect_date,defect_type,severity,defect_location,inspection_method,repair_cost
D00068,P002,2024-01-25,Structural,Minor,Surface,Visual Inspection,86.82950209866341
D00069,P001,2024-03-19,Cosmetic,Critical,Component,Manual Testing,646.9424037796841
D00070,P001,2024-03-08,Structural,Minor,Internal,Visual Inspection,42.035045674972736
D00071,P002,2024-06-21,Functional,Minor,Surface,Visual Inspection,40.65289210362853
D00072,P002,2024-01-12,Cosmetic,Moderate,Internal,Automated Testing,166.67137285038473
D00073,P002,2024-10-14,Cosmetic,Minor,Component,Manual Testing,40.439193090402235
D00074,P002,2024-05-07,Structural,Moderate,Surface,Manual Testing,271.3409918664531
D00075,P002,2024-04-05,Functional,Moderate,Internal,Visual Inspection,285.2302548793913
D00076,P001,2024-04-01,Functional,Critical,Component,Visual Inspection,663.0208895001257
D00077,P002,2024-05-20,Functional,Minor,Internal,Visual Inspection,37.51466640343657
D00078,P001,2024-01-31,Cosmetic,Critical,Internal,Automated Testing,913.139733532737
D00079,P001,2024-11-29,Cosmetic,Minor,Internal,Automated Testing,41.716654335785435
D00080,P002,2024-01-20,Cosmetic,Minor,Component,Visual Inspection,59.493977266332664
D00081,P002,2024-05-25,Structural,Minor,Component,Manual Testing,53.0438453127695
D00082,P001,2024-11-11,Functional,Critical,Internal,Manual Testing,436.22141240066435
D00083,P002,2024-06-08,Cosmetic,Minor,Surface,Automated Testing,73.21257801995093
D00084,P002,2024-12-14,Cosmetic,Minor,Surface,Automated Testing,76.93816509643283
D00085,P002,2024-02-12,Cosmetic,Moderate,Component,Visual Inspection,163.23267857093683
D00086,P003,2024-09-10,Cosmetic,Minor,Component,Manual Testing,44.18447660096024
D00087,P001,2024-05-09,Functional,Minor,Component,Visual Inspection,54.287980860873574
D00088,P003,2024-02-29,Functional,Minor,Component,Automated Testing,55.01685184980538
D00089,P002,2024-05-30,Structural,Minor,Component,Manual Testing,59.878164090092454
D00090,P003,2024-10-13,Cosmetic,Minor,Surface,Manual Testing,80.15306808149525
D00091,P002,2024-01-05,Cosmetic,Minor,Component,Automated Testing,47.34579158758926
D00092,P003,2024-09-22,Functional,Moderate,Internal,Visual Inspection,152.10216532769277
D00093,P002,2024-12-10,Functional,Minor,Internal,Visual Inspection,29.31021157978209
D00094,P003,2024-05-09,Functional,Minor,Surface,Manual Testing,39.036049400871214
D00095,P003,2024-09-23,Functional,Moderate,Internal,Automated Testing,198.01238162757218
D00096,P003,2024-06-26,Cosmetic,Minor,Surface,Manual Testing,76.91836795276681
D00097,P001,2024-09-09,Functional,Moderate,Surface,Automated Testing,168.9433220578297
D00098,P003,2024-02-25,Cosmetic,Minor,Internal,Visual Inspection,53.35681927458348
D00099,P001,2024-03-23,Cosmetic,Minor,Component,Automated Testing,49.753656558908716
D00100,P002,2024-04-08,Cosmetic,Minor,Internal,Visual Inspection,67.82589910172126
D00101,P003,2024-05-28,Cosmetic,Minor,Internal,Automated Testing,87.90398638810433
D00102,P002,2024-11-24,Functional,Minor,Surface,Manual Testing,42.03696840619519
D00103,P002,2024-06-04,Cosmetic,Minor,Internal,Visual Inspection,42.658408362226666
D00104,P003,2024-07-08,Functional,Minor,Surface,Manual Testing,65.66241315603608
D00105,P001,2024-09-19,Structural,Minor,Component,Manual Testing,60.22837234439467
D00106,P003,2024-03-20,Cosmetic,Minor,Component,Visual Inspection,77.7006098860405
D00107,P002,2024-09-08,Cosmetic,Minor,Component,Visual Inspection,58.75892277988946
D00108,P002,2024-04-06,Functional,Minor,Internal,Manual Testing,44.610618638194104
D00109,P003,2024-09-16,Cosmetic,Minor,Surface,Manual Testing,58.85982246038464
D00110,P001,2024-09-16,Cosmetic,Moderate,Component,Manual Testing,266.5222148349745
D00111,P001,2024-04-12,Cosmetic,Minor,Surface,Manual Testing,62.30723271796046
D00112,P002,2024-02-09,Cosmetic,Moderate,Surface,Visual Inspection,230.43644186643786
D00113,P002,2024-09-29,Structural,Moderate,Component,Visual Inspection,264.00048137534924
D00114,P001,2024-04-10,Structural,Minor,Component,Manual Testing,67.5394338566851
D00115,P003,2024-12-24,Functional,Moderate,Surface,Automated Testing,282.9295394622516
D00116,P002,2024-11-03,Structural,Critical,Component,Automated Testing,955.6903730215142
D00117,P001,2024-08-08,Structural,Minor,Surface,Visual Inspection,47.493228795247184
D00118,P002,2024-11-03,Cosmetic,Minor,Surface,Manual Testing,52.20070529649984
D00119,P003,2024-05-03,Structural,Moderate,Component,Manual Testing,272.3905379905014
D00120,P001,2024-08-18,Functional,Moderate,Internal,Visual Inspection,150.98385974076584
D00121,P002,2024-06-26,Structural,Minor,Component,Automated Testing,55.53009963309352
D00122,P003,2024-03-03,Structural,Minor,Internal,Automated Testing,44.09991781508959
D00123,P002,2024-04-25,Cosmetic,Minor,Surface,Automated Testing,50.431172344022265
D00124,P003,2024-07-09,Cosmetic,Minor,Surface,Visual Inspection,69.17677793910948
D00125,P003,2024-03-02,Cosmetic,Moderate,Internal,Automated Testing,211.4659440811942
D00126,P001,2024-09-12,Cosmetic,Minor,Surface,Visual Inspection,50.69654822234223
D00127,P003,2024-01-07,Structural,Minor,Internal,Visual Inspection,29.60215788530121
D00128,P002,2024-06-03,Structural,Moderate,Internal,Manual Testing,244.77521396163326
D00129,P003,2024-04-01,Cosmetic,Minor,Surface,Automated Testing,59.68226271711613
D00130,P003,2024-01-14,Functional,Minor,Internal,Visual Inspection,82.4488208495819
D00131,P001,2024-08-16,Cosmetic,Moderate,Component,Automated Testing,181.53330590281996
D00132,P003,2024-03-26,Cosmetic,Moderate,Component,Automated Testing,213.14901965983634
D00133,P003,2024-05-12,Cosmetic,Minor,Surface,Manual Testing,53.74075525566133
D00134,P002,2024-07-01,Cosmetic,Minor,Surface,Automated Testing,73.66179919645211
D00135,P001,2024-03-02,Structural,Minor,Internal,Manual Testing,48.57056701419572
D00136,P001,2024-08-06,Cosmetic,Minor,Internal,Visual Inspection,54.185322886555085
D00137,P001,2024-09-02,Functional,Minor,Internal,Automated Testing,59.11844764574809
D00138,P003,2024-08-17,Functional,Minor,Internal,Visual Inspection,52.79913684734537
D00139,P001,2024-03-19,Cosmetic,Minor,Component,Automated Testing,43.30349578174208
D00140,P003,2024-05-28,Structural,Minor,Component,Visual Inspection,52.911349893474615
D00141,P003,2024-05-17,Structural,Minor,Surface,Automated Testing,66.10447624789659
D00142,P002,2024-11-09,Cosmetic,Minor,Internal,Automated Testing,34.602270508834096
D00143,P002,2024-03-05,Cosmetic,Minor,Internal,Automated Testing,51.99454511220314
D00144,P002,2024-01-13,Cosmetic,Minor,Surface,Automated Testing,39.4981877759124
D00145,P002,2024-07-31,Cosmetic,Minor,Internal,Automated Testing,67.92569943387264
D00146,P002,2024-08-29,Cosmetic,Moderate,Internal,Automated Testing,108.60878571297351
D00147,P003,2024-07-31,Functional,Minor,Internal,Automated Testing,41.61617229092617
D00148,P003,2024-06-29,Functional,Moderate,Internal,Automated Testing,222.63271250387126
D00149,P001,2024-12-03,Cosmetic,Moderate,Internal,Automated Testing,293.9314417540604
D00150,P003,2024-06-21,Cosmetic,Minor,Surface,Visual Inspection,49.01374608390518
D00151,P003,2024-06-08,Structural,Minor,Internal,Manual Testing,41.67200709960203
D00152,P002,2024-06-12,Cosmetic,Minor,Surface,Automated Testing,78.21735604160885
D00153,P003,2024-07-06,Cosmetic,Minor,Internal,Manual Testing,28.27979149375634
D00154,P002,2024-07-09,Cosmetic,Moderate,Component,Automated Testing,68.0716426027951
D00155,P001,2024-11-03,Structural,Minor,Component,Automated Testing,56.60021675079999
D00156,P001,2024-09-12,Cosmetic,Minor,Component,Visual Inspection,42.46918663471083
D00157,P003,2024-07-01,Functional,Minor,Component,Visual Inspection,34.681507743039305
D00158,P001,2024-04-26,Functional,Minor,Surface,Manual Testing,60.6253467094903
D00159,P003,2024-10-08,Cosmetic,Moderate,Surface,Visual Inspection,214.62804282627192
D00160,P001,2024-07-14,Functional,Minor,Internal,Visual Inspection,41.538820538949075
D00161,P002,2024-02-03,Cosmetic,Minor,Component,Manual Testing,30.795434019936582
D00162,P002,2024-02-21,Functional,Critical,Surface,Visual Inspection,1009.3897587872348
D00163,P002,2024-04-21,Functional,Moderate,Internal,Automated Testing,239.01207067751966
D00164,P002,2024-09-08,Functional,Minor,Internal,Manual Testing,48.51236204330926
D00165,P003,2024-03-22,Cosmetic,Minor,Surface,Manual Testing,77.69955494071499
D00166,P001,2024-08-19,Structural,Minor,Component,Automated Testing,33.94872850510771
D00167,P003,2024-08-14,Cosmetic,Minor,Internal,Visual Inspection,27.117122436128916
D00168,P002,2024-08-20,Cosmetic,Minor,Component,Manual Testing,39.62137895178133
D00169,P003,2024-08-08,Cosmetic,Minor,Component,Manual Testing,49.31620975466753
D00170,P001,2024-02-11,Functional,Minor,Component,Automated Testing,53.65009173984038
D00171,P003,2024-01-21,Functional,Minor,Internal,Automated Testing,46.38145913215505
D00172,P001,2024-02-11,Cosmetic,Moderate,Component,Visual Inspection,221.1233237908578
D00173,P003,2024-04-22,Functional,Minor,Internal,Manual Testing,31.22690863714334
D00174,P001,2024-04-14,Cosmetic,Minor,Component,Visual Inspection,71.65646906109889
D00175,P001,2024-07-10,Functional,Minor,Internal,Visual Inspection,48.76773232411147
D00176,P002,2024-01-17,Cosmetic,Critical,Component,Automated Testing,1068.1509995811507
D00177,P001,2024-04-29,Functional,Minor,Surface,Manual Testing,55.14088019566556
D00178,P002,2024-05-08,Cosmetic,Minor,Component,Manual Testing,56.85129828730676
D00179,P002,2024-05-09,Structural,Critical,Component,Manual Testing,936.7441472557289
D00180,P002,2024-02-29,Cosmetic,Moderate,Internal,Automated Testing,226.8625136010389
D00181,P003,2024-02-17,Cosmetic,Moderate,Internal,Automated Testing,238.56336559205263
D00182,P003,2024-01-29,Cosmetic,Minor,Component,Automated Testing,69.93728795198646
D00183,P003,2024-04-06,Structural,Minor,Surface,Automated Testing,52.94781754552205
D00184,P003,2024-01-10,Structural,Moderate,Surface,Automated Testing,242.54022545531075
D00185,P001,2024-08-29,Cosmetic,Critical,Internal,Manual Testing,778.4634333710655
D00186,P001,2024-11-09,Functional,Minor,Surface,Visual Inspection,71.6017582317421
D00187,P003,2024-08-19,Structural,Minor,Component,Manual Testing,39.85411546911095
D00188,P001,2024-10-03,Functional,Minor,Internal,Visual Inspection,77.01410649366224
D00189,P001,2024-10-10,Functional,Moderate,Component,Automated Testing,197.5905229613394
D00190,P002,2024-07-21,Cosmetic,Minor,Internal,Visual Inspection,28.538373468229278
D00191,P002,2024-09-03,Cosmetic,Minor,Internal,Manual Testing,51.92156622366184
D00192,P002,2024-10-16,Structural,Minor,Internal,Manual Testing,39.78422513787679
D00193,P002,2024-09-20,Structural,Minor,Internal,Visual Inspection,62.60965323483086
D00194,P001,2024-08-01,Functional,Minor,Surface,Automated Testing,40.210640310464136
D00195,P003,2024-07-18,Cosmetic,Minor,Component,Automated Testing,43.307248501778304
D00196,P001,2024-03-19,Cosmetic,Moderate,Component,Manual Testing,86.62755614326814
D00197,P001,2024-12-08,Functional,Minor,Component,Visual Inspection,43.21540521126385
D00198,P001,2024-12-09,Structural,Minor,Internal,Automated Testing,13.64181010056565
D00199,P002,2024-06-21,Structural,Minor,Surface,Automated Testing,26.24145764771415
D00200,P002,2024-03-09,Functional,Minor,Component,Manual Testing,61.40621984216446
D00201,P002,2024-03-27,Functional,Minor,Surface,Automated Testing,61.787002379762484
D00202,P003,2024-04-10,Cosmetic,Minor,Internal,Visual Inspection,56.38186342677447
D00203,P001,2024-01-08,Cosmetic,Minor,Component,Manual Testing,35.495357853061805
D00204,P003,2024-11-28,Structural,Minor,Surface,Manual Testing,49.2843296578703
D00205,P002,2024-07-18,Functional,Minor,Internal,Visual Inspection,49.945961913641476
D00206,P003,2024-03-27,Cosmetic,Critical,Surface,Manual Testing,521.9924745937897
D00207,P001,2024-02-12,Cosmetic,Minor,Component,Automated Testing,72.55097452650726
D00208,P001,2024-04-18,Functional,Moderate,Component,Automated Testing,252.6417374345403
D00209,P002,2024-05-31,Cosmetic,Minor,Internal,Visual Inspection,46.68553739255504
D00210,P002,2024-01-17,Cosmetic,Moderate,Internal,Automated Testing,201.61315033967185
D00211,P003,2024-05-12,Functional,Moderate,Internal,Visual Inspection,212.50296847685314
D00212,P002,2024-05-27,Functional,Minor,Surface,Visual Inspection,19.373976973635642
D00213,P002,2024-10-03,Functional,Minor,Surface,Automated Testing,46.29233926219105
D00214,P001,2024-08-19,Cosmetic,Minor,Surface,Visual Inspection,39.77023628003302
D00215,P002,2024-11-09,Functional,Minor,Internal,Automated Testing,34.975699851576266
D00216,P002,2024-08-15,Cosmetic,Critical,Component,Manual Testing,732.5359297073708
D00217,P001,2024-05-18,Cosmetic,Moderate,Component,Manual Testing,307.86119161097133
D00218,P001,2024-07-29,Functional,Critical,Surface,Visual Inspection,953.8022867040823
D00219,P003,2024-01-28,Functional,Minor,Surface,Automated Testing,41.432315153258045
D00220,P002,2024-02-20,Structural,Moderate,Component,Automated Testing,234.3549668813695
D00221,P001,2024-09-17,Functional,Critical,Component,Manual Testing,1135.8453047806406
D00222,P003,2024-09-17,Functional,Minor,Surface,Manual Testing,63.869505243691535
D00223,P003,2024-12-15,Cosmetic,Minor,Surface,Automated Testing,50.89445554880261
D00224,P002,2024-12-17,Cosmetic,Moderate,Component,Visual Inspection,161.18379333766558
D00225,P002,2024-01-08,Cosmetic,Minor,Internal,Manual Testing,60.47334970420385
D00226,P003,2024-11-15,Cosmetic,Moderate,Surface,Visual Inspection,223.60912312530496
D00227,P001,2024-05-17,Structural,Minor,Component,Visual Inspection,63.42789830041598
D00228,P003,2024-02-07,Cosmetic,Moderate,Component,Manual Testing,238.11030810091816
D00229,P002,2024-04-20,Structural,Minor,Component,Visual Inspection,65.74329072979003
D00230,P001,2024-08-07,Functional,Minor,Component,Visual Inspection,41.97147182659148
D00231,P001,2024-12-02,Functional,Minor,Internal,Automated Testing,69.76091098451488
D00232,P003,2024-08-10,Functional,Moderate,Component,Visual Inspection,211.85597628154397
D00233,P002,2024-05-15,Functional,Moderate,Surface,Automated Testing,324.51565235751593
D00234,P003,2024-09-12,Cosmetic,Minor,Internal,Manual Testing,39.66218272865648
D00235,P003,2024-12-25,Cosmetic,Minor,Component,Manual Testing,76.03945704747875
D00236,P003,2024-11-24,Functional,Moderate,Internal,Automated Testing,211.87464700775888
D00237,P001,2024-02-18,Cosmetic,Minor,Surface,Manual Testing,40.22872994578327
D00238,P001,2024-10-18,Cosmetic,Moderate,Component,Visual Inspection,170.9668499567407
D00239,P002,2024-11-19,Functional,Minor,Surface,Visual Inspection,45.1947903770852
D00240,P002,2024-03-18,Cosmetic,Minor,Component,Visual Inspection,56.36248919602875
D00241,P003,2024-04-14,Structural,Minor,Component,Manual Testing,57.84253232053249
D00242,P003,2024-06-17,Structural,Minor,Component,Visual Inspection,41.394499940921314
D00243,P003,2024-08-04,Structural,Moderate,Component,Manual Testing,198.53872446434102
D00244,P002,2024-04-28,Cosmetic,Minor,Component,Visual Inspection,82.13405537917795
D00245,P001,2024-07-08,Cosmetic,Minor,Internal,Automated Testing,75.91314755151066
D00246,P001,2024-09-11,Structural,Moderate,Component,Manual Testing,226.17942018044192
D00247,P003,2024-09-22,Cosmetic,Minor,Component,Manual Testing,50.570052172523006
D00248,P003,2024-05-28,Structural,Minor,Internal,Visual Inspection,51.80046990077392
D00249,P003,2024-06-12,Structural,Critical,Internal,Manual Testing,947.2443134553
D00250,P003,2024-05-19,Structural,Moderate,Internal,Manual Testing,138.63244608809566
D00251,P002,2024-12-12,Cosmetic,Minor,Internal,Automated Testing,46.139351938649824
D00252,P001,2024-09-14,Cosmetic,Critical,Internal,Automated Testing,399.53982226937853
D00253,P003,2024-09-25,Structural,Moderate,Internal,Visual Inspection,223.95338735631677
D00254,P002,2024-06-29,Cosmetic,Minor,Component,Automated Testing,59.707939095541114
D00255,P003,2024-06-08,Cosmetic,Minor,Component,Visual Inspection,42.75220306550939
D00256,P003,2024-12-16,Functional,Moderate,Surface,Visual Inspection,294.439205797402
D00257,P001,2024-10-14,Structural,Moderate,Component,Visual Inspection,126.45406021985953
D00258,P003,2024-10-14,Functional,Minor,Component,Manual Testing,28.034376796852698
D00259,P001,2024-08-13,Functional,Moderate,Internal,Automated Testing,213.46710911359833
D00260,P001,2024-01-11,Cosmetic,Moderate,Internal,Visual Inspection,262.8258981567293
D00261,P001,2024-01-10,Functional,Minor,Component,Automated Testing,75.25891537186803
D00262,P002,2024-09-27,Structural,Minor,Surface,Visual Inspection,43.1167360569659
D00263,P002,2024-09-29,Cosmetic,Minor,Internal,Automated Testing,66.18021250146944
D00264,P001,2024-07-01,Functional,Moderate,Component,Automated Testing,197.68949182995757
D00265,P003,2024-06-01,Structural,Minor,Component,Visual Inspection,47.41059050088771
D00266,P001,2024-11-10,Functional,Minor,Surface,Manual Testing,63.25489906230008
D00267,P003,2024-11-29,Functional,Moderate,Surface,Automated Testing,239.13937270480517
D00268,P001,2024-05-03,Functional,Moderate,Internal,Manual Testing,105.41647058094503
D00269,P003,2024-04-23,Cosmetic,Minor,Surface,Manual Testing,72.14810524588844
D00270,P002,2024-10-04,Cosmetic,Moderate,Component,Visual Inspection,282.80548124884706
D00271,P003,2024-07-31,Structural,Minor,Component,Visual Inspection,40.61655947735706
D00272,P001,2024-06-20,Structural,Moderate,Surface,Visual Inspection,223.74821200624456
D00273,P002,2024-10-14,Structural,Minor,Surface,Automated Testing,57.41045279424108
D00274,P003,2024-06-22,Structural,Minor,Surface,Visual Inspection,53.910106487358604
D00275,P003,2024-04-22,Functional,Moderate,Surface,Visual Inspection,166.9816907692748
D00276,P003,2024-05-01,Functional,Minor,Internal,Automated Testing,39.92564948092922
D00277,P003,2024-02-01,Functional,Minor,Surface,Automated Testing,49.61668893512832
D00278,P003,2024-08-09,Functional,Moderate,Internal,Visual Inspection,270.3637411555619
D00279,P002,2024-04-28,Functional,Moderate,Component,Visual Inspection,232.61600927566593
D00280,P002,2024-02-08,Functional,Moderate,Surface,Visual Inspection,177.76314007483364
D00281,P002,2024-09-24,Structural,Moderate,Internal,Visual Inspection,246.3019226389007
D00282,P002,2024-08-20,Cosmetic,Minor,Surface,Manual Testing,10.0
D00283,P001,2024-01-18,Cosmetic,Minor,Component,Manual Testing,67.23148550558156
D00284,P002,2024-05-28,Cosmetic,Minor,Component,Visual Inspection,23.904293318328506
D00285,P003,2024-05-28,Functional,Minor,Component,Manual Testing,44.563385878953014
D00286,P003,2024-05-05,Cosmetic,Critical,Surface,Automated Testing,531.2792252897254
D00287,P002,2024-10-28,Cosmetic,Minor,Surface,Manual Testing,30.579777864186415
D00288,P003,2024-12-25,Functional,Minor,Internal,Manual Testing,67.41240181067779
D00289,P002,2024-08-25,Cosmetic,Minor,Component,Visual Inspection,42.98448198032163
D00290,P003,2024-05-14,Functional,Critical,Surface,Manual Testing,883.1609316153717
D00291,P001,2024-05-30,Cosmetic,Minor,Component,Manual Testing,49.29619131681224
D00292,P001,2024-08-23,Cosmetic,Minor,Component,Manual Testing,57.15561240834682
D00293,P002,2024-08-11,Structural,Minor,Internal,Manual Testing,51.15232836590383
D00294,P002,2024-07-21,Cosmetic,Moderate,Internal,Automated Testing,123.02046654868582
D00295,P002,2024-09-12,Cosmetic,Minor,Internal,Visual Inspection,64.94400229170711
D00296,P003,2024-03-26,Functional,Moderate,Internal,Visual Inspection,170.37460501032126
D00297,P002,2024-05-29,Functional,Critical,Component,Automated Testing,426.42034432165974
D00298,P001,2024-08-22,Cosmetic,Minor,Internal,Manual Testing,43.578272585511314
D00299,P003,2024-12-10,Functional,Moderate,Internal,Automated Testing,290.04558743805865
D00300,P002,2024-01-22,Cosmetic,Critical,Internal,Manual Testing,1004.0532181072383
D00301,P003,2024-12-13,Cosmetic,Moderate,Internal,Automated Testing,179.08087193552845
D00302,P003,2024-10-11,Functional,Minor,Component,Visual Inspection,44.76113443522357
D00303,P002,2024-09-25,Functional,Minor,Internal,Visual Inspection,45.17547423173926
D00304,P003,2024-09-14,Functional,Moderate,Component,Visual Inspection,324.6048790136505
D00305,P001,2024-01-29,Functional,Minor,Surface,Manual Testing,55.7290317834733
D00306,P001,2024-07-31,Structural,Moderate,Component,Manual Testing,225.80249883146416
D00307,P003,2024-10-09,Functional,Critical,Component,Automated Testing,1047.268028967642
D00308,P002,2024-02-19,Cosmetic,Critical,Internal,Automated Testing,857.3093981663633
D00309,P003,2024-04-04,Functional,Minor,Surface,Visual Inspection,46.11436781268945
D00310,P001,2024-03-28,Cosmetic,Minor,Surface,Manual Testing,47.05475226372533
D00311,P003,2024-02-13,Cosmetic,Critical,Surface,Automated Testing,782.8156977406246
D00312,P003,2024-10-04,Cosmetic,Moderate,Surface,Manual Testing,197.76666580940952
D00313,P001,2024-06-19,Cosmetic,Minor,Component,Manual Testing,60.9144431545547
D00314,P003,2024-07-07,Structural,Critical,Surface,Visual Inspection,812.4670125937519
D00315,P003,2024-12-18,Structural,Moderate,Component,Visual Inspection,243.95840463293476
D00316,P002,2024-07-02,Functional,Minor,Component,Manual Testing,48.78925129837126
D00317,P002,2024-01-03,Cosmetic,Minor,Component,Manual Testing,51.17952785474136
D00318,P001,2024-07-09,Cosmetic,Minor,Surface,Manual Testing,20.026989732018386
D00319,P001,2024-04-27,Cosmetic,Minor,Internal,Manual Testing,63.74491512053722
D00320,P001,2024-01-19,Cosmetic,Minor,Internal,Visual Inspection,55.19732713846989
D00321,P002,2024-01-23,Functional,Moderate,Surface,Automated Testing,259.8806065915791
D00322,P001,2024-01-30,Functional,Minor,Internal,Visual Inspection,10.0
D00323,P001,2024-10-21,Functional,Minor,Internal,Automated Testing,81.32562057171091
D00324,P001,2024-04-17,Cosmetic,Minor,Component,Manual Testing,47.90615557767239
D00325,P002,2024-10-07,Structural,Minor,Component,Automated Testing,66.62274225106275
D00326,P003,2024-05-07,Functional,Critical,Surface,Visual Inspection,550.4225774898725
